Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME000248,3139906,382368,99.19,1.61,GUT_GENOME000248,MGYG-HGUT-00064
GUT_GENOME000250,3036060,90384,99.33,2.68,GUT_GENOME000250,MGYG-HGUT-00065
GUT_GENOME000259,5871584,63820,100.0,3.64,GUT_GENOME000259,MGYG-HGUT-00066
GUT_GENOME000260,3710127,93953,95.32,0.58,GUT_GENOME000260,MGYG-HGUT-00067
GUT_GENOME000266,2991480,87344,99.33,0.34,GUT_GENOME000266,MGYG-HGUT-00068
GUT_GENOME000268,3099119,237914,99.33,0.0,GUT_GENOME000268,MGYG-HGUT-00069
GUT_GENOME000269,3806758,101351,97.99,0.13,GUT_GENOME000269,MGYG-HGUT-00070
GUT_GENOME000271,3913693,78897,96.31,0.0,GUT_GENOME000271,MGYG-HGUT-00071
GUT_GENOME000272,2648819,100166,98.66,0.0,GUT_GENOME000272,MGYG-HGUT-00072
GUT_GENOME000279,2615708,268821,99.19,0.81,GUT_GENOME000279,MGYG-HGUT-00073
GUT_GENOME000285,3211677,196596,99.28,0.48,GUT_GENOME000285,MGYG-HGUT-00074
GUT_GENOME000290,3140667,369043,99.3,0.23,GUT_GENOME000290,MGYG-HGUT-00075
GUT_GENOME000295,4318254,95257,98.55,0.41,GUT_GENOME000295,MGYG-HGUT-00076
GUT_GENOME000299,3184580,102284,100.0,1.34,GUT_GENOME000299,MGYG-HGUT-00077
GUT_GENOME000308,3032540,267346,98.66,0.0,GUT_GENOME000308,MGYG-HGUT-00078
GUT_GENOME000319,2825536,51434,99.34,0.0,GUT_GENOME000319,MGYG-HGUT-00079
GUT_GENOME000327,3256203,407399,99.33,4.03,GUT_GENOME000327,MGYG-HGUT-00080
GUT_GENOME000330,2502899,215262,99.67,0.0,GUT_GENOME000330,MGYG-HGUT-00081
GUT_GENOME000337,3378582,80144,99.93,0.13,GUT_GENOME000337,MGYG-HGUT-00082
GUT_GENOME000338,5860216,632220,98.63,3.81,GUT_GENOME000338,MGYG-HGUT-00083
GUT_GENOME000367,3006478,98955,97.28,0.0,GUT_GENOME000367,MGYG-HGUT-00084
GUT_GENOME000396,2097125,106906,100.0,0.81,GUT_GENOME000396,MGYG-HGUT-00085
GUT_GENOME000420,3340121,59382,98.66,0.67,GUT_GENOME000420,MGYG-HGUT-00086
GUT_GENOME000423,3392090,70303,98.73,0.0,GUT_GENOME000423,MGYG-HGUT-00087
GUT_GENOME000432,1947459,87267,100.0,0.0,GUT_GENOME000432,MGYG-HGUT-00088
GUT_GENOME000448,3052732,473238,97.99,0.0,GUT_GENOME000448,MGYG-HGUT-00089
GUT_GENOME000459,3325509,88438,99.33,0.0,GUT_GENOME000459,MGYG-HGUT-00090
GUT_GENOME000469,6684283,710199,99.53,0.47,GUT_GENOME000469,MGYG-HGUT-00091
GUT_GENOME000479,3773898,227761,99.37,0.0,GUT_GENOME000479,MGYG-HGUT-00092
GUT_GENOME000483,6212262,570736,100.0,0.76,GUT_GENOME000483,MGYG-HGUT-00093
GUT_GENOME000484,2278069,178732,100.0,0.81,GUT_GENOME000484,MGYG-HGUT-00094
GUT_GENOME000496,5524219,282062,99.37,2.37,GUT_GENOME000496,MGYG-HGUT-00095
GUT_GENOME000508,2296798,553794,99.82,0.0,GUT_GENOME000508,MGYG-HGUT-00096
GUT_GENOME000509,1849820,206799,99.3,0.0,GUT_GENOME000509,MGYG-HGUT-00097
GUT_GENOME000513,4868432,125364,99.26,0.0,GUT_GENOME000513,MGYG-HGUT-00098
GUT_GENOME000518,4030170,451145,99.33,0.13,GUT_GENOME000518,MGYG-HGUT-00099
GUT_GENOME000522,2685350,396778,99.28,1.9,GUT_GENOME000522,MGYG-HGUT-00100
GUT_GENOME000530,2543486,266474,98.7,0.92,GUT_GENOME000530,MGYG-HGUT-00101
GUT_GENOME000534,3838772,717148,100.0,0.0,GUT_GENOME000534,MGYG-HGUT-00102
GUT_GENOME000537,4467399,374449,100.0,2.13,GUT_GENOME000537,MGYG-HGUT-00103
GUT_GENOME000545,3679157,138355,98.39,1.7,GUT_GENOME000545,MGYG-HGUT-00104
GUT_GENOME000554,3966084,655330,99.26,0.0,GUT_GENOME000554,MGYG-HGUT-00105
GUT_GENOME000558,3151407,476239,99.25,0.0,GUT_GENOME000558,MGYG-HGUT-00106
GUT_GENOME000559,5859760,423696,100.0,0.11,GUT_GENOME000559,MGYG-HGUT-00107
GUT_GENOME000563,4739904,899252,99.97,0.17,GUT_GENOME000563,MGYG-HGUT-00108
GUT_GENOME000564,2017266,1384500,100.0,0.0,GUT_GENOME000564,MGYG-HGUT-00109
GUT_GENOME000565,4775474,475565,98.41,0.33,GUT_GENOME000565,MGYG-HGUT-00110
GUT_GENOME000566,2484103,703477,100.0,0.0,GUT_GENOME000566,MGYG-HGUT-00111
GUT_GENOME000568,3112947,788009,100.0,0.47,GUT_GENOME000568,MGYG-HGUT-00112
GUT_GENOME000571,2251843,144949,99.84,0.25,GUT_GENOME000571,MGYG-HGUT-00113
GUT_GENOME000572,2012807,1529949,99.66,0.17,GUT_GENOME000572,MGYG-HGUT-00114
GUT_GENOME000573,3522149,779698,98.46,1.42,GUT_GENOME000573,MGYG-HGUT-00115
GUT_GENOME000575,3094169,1574581,100.0,0.33,GUT_GENOME000575,MGYG-HGUT-00116
GUT_GENOME000578,3354557,347153,99.62,0.13,GUT_GENOME000578,MGYG-HGUT-00117
GUT_GENOME000582,3130550,518128,98.52,0.0,GUT_GENOME000582,MGYG-HGUT-00118
GUT_GENOME000583,3510290,138578,99.36,0.0,GUT_GENOME000583,MGYG-HGUT-00119
GUT_GENOME000584,2173437,497321,99.3,0.0,GUT_GENOME000584,MGYG-HGUT-00120
GUT_GENOME000586,4357687,238362,99.3,0.0,GUT_GENOME000586,MGYG-HGUT-00121
GUT_GENOME000587,2560586,169476,99.67,0.0,GUT_GENOME000587,MGYG-HGUT-00122
GUT_GENOME000594,5803256,338692,99.36,0.0,GUT_GENOME000594,MGYG-HGUT-00123
GUT_GENOME000595,5038074,548481,99.55,0.33,GUT_GENOME000595,MGYG-HGUT-00124
GUT_GENOME000598,3256596,148590,99.49,0.82,GUT_GENOME000598,MGYG-HGUT-00125
GUT_GENOME000603,4489454,204793,98.58,1.42,GUT_GENOME000603,MGYG-HGUT-00126
GUT_GENOME000604,6637357,554730,99.33,0.67,GUT_GENOME000604,MGYG-HGUT-00127
GUT_GENOME000608,2906287,678153,99.52,0.64,GUT_GENOME000608,MGYG-HGUT-00128
GUT_GENOME000609,2720267,270580,97.32,0.0,GUT_GENOME000609,MGYG-HGUT-00129
GUT_GENOME000611,1967573,117522,98.95,0.0,GUT_GENOME000611,MGYG-HGUT-00130
GUT_GENOME000612,3305800,337905,97.99,1.34,GUT_GENOME000612,MGYG-HGUT-00131
GUT_GENOME000614,2897754,329699,100.0,0.94,GUT_GENOME000614,MGYG-HGUT-00132
GUT_GENOME000623,3329208,220643,99.37,0.0,GUT_GENOME000623,MGYG-HGUT-00133
GUT_GENOME000624,3162979,162125,100.0,0.94,GUT_GENOME000624,MGYG-HGUT-00134
GUT_GENOME000625,5745005,499492,99.37,0.32,GUT_GENOME000625,MGYG-HGUT-00135
GUT_GENOME000629,3864393,98959,99.21,1.36,GUT_GENOME000629,MGYG-HGUT-00136
GUT_GENOME000634,4141345,188643,99.37,0.0,GUT_GENOME000634,MGYG-HGUT-00137
GUT_GENOME000655,4917597,269567,99.42,0.0,GUT_GENOME000655,MGYG-HGUT-00138
GUT_GENOME000658,2758070,673876,100.0,0.67,GUT_GENOME000658,MGYG-HGUT-00139
GUT_GENOME000659,3539975,186715,100.0,0.0,GUT_GENOME000659,MGYG-HGUT-00140
GUT_GENOME000662,3466198,914767,99.37,0.0,GUT_GENOME000662,MGYG-HGUT-00141
GUT_GENOME000676,3538460,266698,99.37,0.32,GUT_GENOME000676,MGYG-HGUT-00142
GUT_GENOME000677,2958071,117923,99.4,0.0,GUT_GENOME000677,MGYG-HGUT-00143
GUT_GENOME000682,3314964,541237,99.62,0.0,GUT_GENOME000682,MGYG-HGUT-00144
GUT_GENOME000700,4646417,484254,99.37,0.0,GUT_GENOME000700,MGYG-HGUT-00145
GUT_GENOME000706,3357411,363061,99.42,0.0,GUT_GENOME000706,MGYG-HGUT-00146
GUT_GENOME000711,4371302,778705,99.59,0.02,GUT_GENOME000711,MGYG-HGUT-00147
GUT_GENOME000718,2855431,111868,99.37,0.0,GUT_GENOME000718,MGYG-HGUT-00148
GUT_GENOME000724,3780854,57954,99.19,1.69,GUT_GENOME000724,MGYG-HGUT-00149
GUT_GENOME000725,7470188,161269,99.37,0.32,GUT_GENOME000725,MGYG-HGUT-00150
GUT_GENOME000727,3486414,366464,99.19,0.0,GUT_GENOME000727,MGYG-HGUT-00151
GUT_GENOME000729,6260407,177249,99.37,0.84,GUT_GENOME000729,MGYG-HGUT-00152
GUT_GENOME000732,2962513,190448,98.19,1.6,GUT_GENOME000732,MGYG-HGUT-00153
GUT_GENOME000735,2998355,437841,99.52,1.22,GUT_GENOME000735,MGYG-HGUT-00154
GUT_GENOME000743,2346100,173709,99.08,0.61,GUT_GENOME000743,MGYG-HGUT-00155
GUT_GENOME000753,2287006,95573,100.0,0.0,GUT_GENOME000753,MGYG-HGUT-00156
GUT_GENOME000760,3456725,18488,100.0,1.4,GUT_GENOME000760,MGYG-HGUT-00157
GUT_GENOME000764,2308547,51923,100.0,0.81,GUT_GENOME000764,MGYG-HGUT-00158
GUT_GENOME000767,3206638,369744,98.83,0.88,GUT_GENOME000767,MGYG-HGUT-00159
GUT_GENOME000768,2098512,117970,100.0,0.81,GUT_GENOME000768,MGYG-HGUT-00160
GUT_GENOME000770,2049624,30444,98.94,0.0,GUT_GENOME000770,MGYG-HGUT-00161
GUT_GENOME000784,3083618,35061,99.01,0.47,GUT_GENOME000784,MGYG-HGUT-00162
GUT_GENOME000812,2560363,264102,98.02,0.87,GUT_GENOME000812,MGYG-HGUT-00163
GUT_GENOME000818,3102552,318557,98.83,0.73,GUT_GENOME000818,MGYG-HGUT-00164
GUT_GENOME000852,3899966,231667,98.73,0.0,GUT_GENOME000852,MGYG-HGUT-00165
GUT_GENOME000862,1967637,55235,99.18,0.0,GUT_GENOME000862,MGYG-HGUT-00166
GUT_GENOME000871,2290660,100899,100.0,0.81,GUT_GENOME000871,MGYG-HGUT-00167
GUT_GENOME000872,5206610,397544,99.46,1.61,GUT_GENOME000872,MGYG-HGUT-00168
GUT_GENOME000889,2836880,187385,99.33,0.67,GUT_GENOME000889,MGYG-HGUT-00169
GUT_GENOME000899,3119069,304420,99.52,0.0,GUT_GENOME000899,MGYG-HGUT-00170
GUT_GENOME000906,3528861,304690,99.37,0.63,GUT_GENOME000906,MGYG-HGUT-00171
GUT_GENOME000931,6502335,242482,99.22,0.0,GUT_GENOME000931,MGYG-HGUT-00172
GUT_GENOME000941,1989881,579033,100.0,0.0,GUT_GENOME000941,MGYG-HGUT-00173
GUT_GENOME000944,6515019,318243,99.62,0.0,GUT_GENOME000944,MGYG-HGUT-00174
GUT_GENOME000962,5055105,111301,99.42,0.0,GUT_GENOME000962,MGYG-HGUT-00175
GUT_GENOME000963,5921396,174047,99.12,0.29,GUT_GENOME000963,MGYG-HGUT-00176
GUT_GENOME000967,2530740,334915,97.99,0.0,GUT_GENOME000967,MGYG-HGUT-00177
GUT_GENOME000979,3124390,116128,99.33,0.0,GUT_GENOME000979,MGYG-HGUT-00178
GUT_GENOME000980,6044842,236844,99.37,0.0,GUT_GENOME000980,MGYG-HGUT-00179
GUT_GENOME000984,2452586,108838,100.0,1.61,GUT_GENOME000984,MGYG-HGUT-00180
GUT_GENOME000994,2690153,46486,96.04,0.84,GUT_GENOME000994,MGYG-HGUT-00181
GUT_GENOME000996,2580428,64611,100.0,0.08,GUT_GENOME000996,MGYG-HGUT-00182
GUT_GENOME001003,5449115,213880,99.46,0.0,GUT_GENOME001003,MGYG-HGUT-00183
GUT_GENOME001004,3628098,130623,99.37,0.0,GUT_GENOME001004,MGYG-HGUT-00184
GUT_GENOME001016,3231072,68259,99.92,0.67,GUT_GENOME001016,MGYG-HGUT-00185
GUT_GENOME001022,2274791,78326,98.11,1.25,GUT_GENOME001022,MGYG-HGUT-00186
GUT_GENOME001023,2804290,56031,98.08,0.67,GUT_GENOME001023,MGYG-HGUT-00187
GUT_GENOME001026,2272897,96357,100.0,0.81,GUT_GENOME001026,MGYG-HGUT-00188
GUT_GENOME001027,2889110,578091,99.33,0.0,GUT_GENOME001027,MGYG-HGUT-00189
GUT_GENOME001029,2845715,382710,98.66,0.0,GUT_GENOME001029,MGYG-HGUT-00190
GUT_GENOME001039,2910058,64429,100.0,0.0,GUT_GENOME001039,MGYG-HGUT-00191
GUT_GENOME001046,3744494,141100,100.0,0.32,GUT_GENOME001046,MGYG-HGUT-00192
GUT_GENOME001056,4116467,84687,97.47,1.9,GUT_GENOME001056,MGYG-HGUT-00193
GUT_GENOME001105,3575049,82411,98.73,1.9,GUT_GENOME001105,MGYG-HGUT-00194
GUT_GENOME001115,3389403,301342,100.0,0.0,GUT_GENOME001115,MGYG-HGUT-00195
GUT_GENOME001120,6397473,188408,99.41,0.0,GUT_GENOME001120,MGYG-HGUT-00196
GUT_GENOME001122,2366782,134292,100.0,0.81,GUT_GENOME001122,MGYG-HGUT-00197
GUT_GENOME001135,6476047,371060,99.37,0.0,GUT_GENOME001135,MGYG-HGUT-00198
GUT_GENOME001139,2066233,278399,99.92,0.0,GUT_GENOME001139,MGYG-HGUT-00199
GUT_GENOME001147,4192582,97301,99.37,0.0,GUT_GENOME001147,MGYG-HGUT-00200
GUT_GENOME001159,4593677,218554,99.37,0.0,GUT_GENOME001159,MGYG-HGUT-00201
GUT_GENOME001177,5162287,267148,98.82,2.06,GUT_GENOME001177,MGYG-HGUT-00202
GUT_GENOME001189,4537346,133498,99.46,0.0,GUT_GENOME001189,MGYG-HGUT-00203
GUT_GENOME001190,2669361,244186,99.33,0.0,GUT_GENOME001190,MGYG-HGUT-00204
GUT_GENOME001208,3700210,117594,100.0,0.0,GUT_GENOME001208,MGYG-HGUT-00205
GUT_GENOME001213,2952936,311472,99.22,1.75,GUT_GENOME001213,MGYG-HGUT-00206
GUT_GENOME001223,2229433,166526,100.0,1.61,GUT_GENOME001223,MGYG-HGUT-00207
GUT_GENOME001239,2760782,299392,99.33,0.0,GUT_GENOME001239,MGYG-HGUT-00208
GUT_GENOME001241,3107681,103900,98.66,0.0,GUT_GENOME001241,MGYG-HGUT-00209
GUT_GENOME001245,2261182,51844,100.0,1.61,GUT_GENOME001245,MGYG-HGUT-00210
GUT_GENOME001255,6486320,432362,99.13,0.37,GUT_GENOME001255,MGYG-HGUT-00211
GUT_GENOME001261,3683307,441503,99.37,0.0,GUT_GENOME001261,MGYG-HGUT-00212
GUT_GENOME001270,4347192,66465,98.73,0.13,GUT_GENOME001270,MGYG-HGUT-00213
GUT_GENOME001274,2032517,32779,100.0,0.0,GUT_GENOME001274,MGYG-HGUT-00214
GUT_GENOME001282,3117648,40058,97.9,0.0,GUT_GENOME001282,MGYG-HGUT-00215
GUT_GENOME001295,3676052,71791,96.68,0.32,GUT_GENOME001295,MGYG-HGUT-00216
GUT_GENOME001297,3653823,104747,98.26,1.45,GUT_GENOME001297,MGYG-HGUT-00217
GUT_GENOME001309,2599623,91754,99.38,1.2,GUT_GENOME001309,MGYG-HGUT-00218
GUT_GENOME001312,4238872,306801,99.3,0.0,GUT_GENOME001312,MGYG-HGUT-00219
GUT_GENOME001315,3018709,137908,95.97,0.67,GUT_GENOME001315,MGYG-HGUT-00220
GUT_GENOME001316,3481200,213610,99.62,0.26,GUT_GENOME001316,MGYG-HGUT-00221
GUT_GENOME001324,4189286,93171,99.42,0.58,GUT_GENOME001324,MGYG-HGUT-00222
GUT_GENOME001340,4367630,139315,100.0,0.0,GUT_GENOME001340,MGYG-HGUT-00223
GUT_GENOME001341,3747034,353973,98.88,0.0,GUT_GENOME001341,MGYG-HGUT-00224
GUT_GENOME001354,2227255,245749,98.75,0.62,GUT_GENOME001354,MGYG-HGUT-00225
GUT_GENOME001355,2362991,355599,100.0,0.76,GUT_GENOME001355,MGYG-HGUT-00226
GUT_GENOME001364,4782975,282690,99.59,1.18,GUT_GENOME001364,MGYG-HGUT-00227
GUT_GENOME001372,2360320,81926,100.0,1.61,GUT_GENOME001372,MGYG-HGUT-00228
GUT_GENOME001373,2785689,221502,95.91,0.0,GUT_GENOME001373,MGYG-HGUT-00229
GUT_GENOME001376,1982296,191511,99.62,0.0,GUT_GENOME001376,MGYG-HGUT-00230
GUT_GENOME001379,3050335,729345,99.33,0.0,GUT_GENOME001379,MGYG-HGUT-00231
GUT_GENOME001400,2317533,112158,100.0,0.81,GUT_GENOME001400,MGYG-HGUT-00232
GUT_GENOME001401,3325756,153630,100.0,0.0,GUT_GENOME001401,MGYG-HGUT-00233
GUT_GENOME001416,2257968,391219,99.45,0.28,GUT_GENOME001416,MGYG-HGUT-00234
GUT_GENOME001417,4917842,166225,99.7,0.65,GUT_GENOME001417,MGYG-HGUT-00235
GUT_GENOME001418,5355078,141672,99.26,0.0,GUT_GENOME001418,MGYG-HGUT-00236
GUT_GENOME001419,2323110,84237,100.0,0.81,GUT_GENOME001419,MGYG-HGUT-00237
GUT_GENOME001422,3499694,134578,99.25,0.22,GUT_GENOME001422,MGYG-HGUT-00238
GUT_GENOME001432,2298700,85036,100.0,0.81,GUT_GENOME001432,MGYG-HGUT-00239
GUT_GENOME001440,2625986,33460,100.0,0.0,GUT_GENOME001440,MGYG-HGUT-00240
GUT_GENOME001443,2654498,78220,100.0,0.59,GUT_GENOME001443,MGYG-HGUT-00241
GUT_GENOME001471,3795523,124321,99.37,0.63,GUT_GENOME001471,MGYG-HGUT-00242
GUT_GENOME001488,3947823,136522,99.26,0.19,GUT_GENOME001488,MGYG-HGUT-00243
GUT_GENOME001490,2463341,32672,100.0,0.0,GUT_GENOME001490,MGYG-HGUT-00244
GUT_GENOME001506,4145433,116174,99.03,0.36,GUT_GENOME001506,MGYG-HGUT-00245
GUT_GENOME001519,2159802,499467,100.0,0.0,GUT_GENOME001519,MGYG-HGUT-00246
GUT_GENOME001538,1726497,1117702,100.0,0.0,GUT_GENOME001538,MGYG-HGUT-00247
GUT_GENOME001573,2506215,239390,98.77,0.61,GUT_GENOME001573,MGYG-HGUT-00248
GUT_GENOME001575,3112009,229948,99.12,0.0,GUT_GENOME001575,MGYG-HGUT-00249
GUT_GENOME001578,3613289,310723,98.66,0.0,GUT_GENOME001578,MGYG-HGUT-00250
GUT_GENOME001587,3784614,205396,98.95,0.63,GUT_GENOME001587,MGYG-HGUT-00251
GUT_GENOME001598,3616950,174361,99.37,0.0,GUT_GENOME001598,MGYG-HGUT-00252
GUT_GENOME001602,2515106,25046,98.11,1.11,GUT_GENOME001602,MGYG-HGUT-00253
GUT_GENOME001635,4496971,214854,99.46,0.0,GUT_GENOME001635,MGYG-HGUT-00254
GUT_GENOME001636,3381727,133299,100.0,0.0,GUT_GENOME001636,MGYG-HGUT-00255
GUT_GENOME001638,2471124,136368,100.0,0.0,GUT_GENOME001638,MGYG-HGUT-00256
GUT_GENOME001653,2328324,118378,100.0,0.81,GUT_GENOME001653,MGYG-HGUT-00257
GUT_GENOME001659,2177930,1592763,99.33,0.67,GUT_GENOME001659,MGYG-HGUT-00258
GUT_GENOME001677,3217194,82436,99.37,0.0,GUT_GENOME001677,MGYG-HGUT-00259
GUT_GENOME001678,2309370,153518,100.0,0.81,GUT_GENOME001678,MGYG-HGUT-00260
GUT_GENOME001681,2228789,233590,100.0,1.61,GUT_GENOME001681,MGYG-HGUT-00261
GUT_GENOME001689,3404550,169124,100.0,0.67,GUT_GENOME001689,MGYG-HGUT-00262
GUT_GENOME001709,3712891,154435,99.37,0.32,GUT_GENOME001709,MGYG-HGUT-00263
GUT_GENOME001738,2830712,231222,97.68,0.0,GUT_GENOME001738,MGYG-HGUT-00264
GUT_GENOME001745,5489205,195174,99.26,0.0,GUT_GENOME001745,MGYG-HGUT-00265
GUT_GENOME001749,2354443,235283,100.0,0.81,GUT_GENOME001749,MGYG-HGUT-00266
GUT_GENOME001752,1820123,110953,97.17,3.13,GUT_GENOME001752,MGYG-HGUT-00267
GUT_GENOME001757,3370692,141102,98.83,0.0,GUT_GENOME001757,MGYG-HGUT-00268
GUT_GENOME001768,2159883,60582,99.06,0.0,GUT_GENOME001768,MGYG-HGUT-00269
GUT_GENOME001769,2282490,127445,100.0,0.81,GUT_GENOME001769,MGYG-HGUT-00270
GUT_GENOME001770,4008876,76264,99.52,0.24,GUT_GENOME001770,MGYG-HGUT-00271
GUT_GENOME001773,3991063,48826,98.14,1.52,GUT_GENOME001773,MGYG-HGUT-00272
GUT_GENOME001778,3492530,94481,98.88,0.37,GUT_GENOME001778,MGYG-HGUT-00273
GUT_GENOME001779,3652637,89929,99.37,1.9,GUT_GENOME001779,MGYG-HGUT-00274
GUT_GENOME001800,2352570,136658,100.0,1.61,GUT_GENOME001800,MGYG-HGUT-00275
GUT_GENOME001805,2876708,99029,100.0,1.6,GUT_GENOME001805,MGYG-HGUT-00276
GUT_GENOME001806,2020595,352813,100.0,0.0,GUT_GENOME001806,MGYG-HGUT-00277
GUT_GENOME001831,4338722,67397,97.31,0.63,GUT_GENOME001831,MGYG-HGUT-00278
